State,Head of state (USD),Head of government (USD),Head of state salary divided by GDP [1 per million],Head of government salary divided by GDP [1 per million],Head of state salary divided by GDP per capita,Head of government salary divided by GDP per capita
Micronesia,"32,000 USD (President)[106]","30,000 USD (Vice President)[106]",97.2644,91.1854,10,9.375
Moldova,"9,264 USD (President) [107]","6,433 USD (Prime Minister) [107]",1.166,0.8097,4.0632,2.8215
Monaco,"52,063,000 USD (Prince) royal grant[9]","202,000 USD  (Minister of State)[108]",,,,
Mongolia,"11,620 USD (President) [109]","11,390 USD (Prime Minister) [110][109]",0.8402,0.8225,2.5088,2.456
Montenegro,"33,440 USD (President)[4]","15,522 USD (Prime Minister)[5]",7.5914,3.5237,4.373,2.0298
Morocco,"488,604 USD (King)[7]","62,500 USD (Prime Minister)[111]",4.449,,155.0632,
Mozambique,"46,800 USD (President)[7]",,3.791,,109.0909,
Myanmar,"40,980 USD (President)[112]","32,784 USD (Vice President)[112]",,,,
Namibia,"99,241 USD (President)[113][7]","76,339 USD (Prime Minister)[113]",7.9026,6.0789,18.3338,14.1029
Nauru,"74,411 USD (President)[114]","74,411 USD (President)[114]",,,8.6777,0
Nepal,"17,584 USD (President)[115]","9,033 USD (Prime Minister)[115]",0.7185,0.3691,21.0839,10.8309
Netherlands,"6,082,736 USD (King) royal grant[116][9]","193,844 USD (Prime Minister)[18]",7.3664,0.2348,125.8167,4.0095
New Zealand,"260,245 USD (Governor-General)[18]","325,546 USD (Prime Minister)[117]",1.2916,1.6157,6.2569,7.8269
Nicaragua,"38,316 USD (President)[32]","38,316 USD (President)[32]",2.7984,2.7984,17.3611,17.3611
Niger,,,,,,
Nigeria,"69,000 USD (President)[7]","69,000 USD (President)[7]",0.1834,,34.6038,
North Korea,,,,,,
North Macedonia,"17,250 USD (President)[4]","15,600 USD (Prime Minister)[5]",1.511,1.3665,3.1513,2.8498
Norway,"33,237,000 USD (King) royal grant[9]","210,714 USD (Prime Minister)[18]",83.8351,0.5315,443.5089,2.8117
Oman,"7,238,000 USD (Sultan) privy purse 1975[118]",,,,,
Pakistan,"65,794 USD (President)[119][120]","13,553 USD (Prime Minister)[121]",0.1533,0.0446,30.2401,8.7949
Palau,"90,000 USD (President)[122][123]","90,000 USD (President)[122][123]",280.3738,280.3738,5.2645,5.2645
Palestine,"120,000 USD (President)[124]","48,000 USD (Prime Minister)[125]",,,,
Panama,"84,000 USD (President)[32]","84,000 USD (President)[32]",1.3584,1.3584,5.567,5.567
Papua New Guinea,"56,249 USD  (Governor General)[126]","107,532 USD (Prime Minister)[127]",,4.5532,,37.5855
Paraguay,"103,044 USD (President)[32]","103,044 USD (President)[32]",3.479,3.479,24.1887,24.1887
Peru,"56,530 USD (President)[128][32]","51,537 USD (Prime Minister)[129]",0.2656,,8.4543,
Philippines,"95,554 USD (President)[130]","95,554 USD (President)[130]",0.3049,0.3049,32.1082,32.1082
Poland,"70,026 USD (President)[18]","57,772 USD (Prime Minister)[18]",0.1334,0.1101,5.0659,4.1794
Portugal,"96,469 USD (President)[18]","72,352 USD (Prime Minister)[18]",0.4424,0.3318,4.5588,3.4191
Qatar,"36,000,000 USD (Emir) royal grant[75]",,216.4424,,592.0663,
Romania,"61,296 USD (President)[131]","61,296 USD (Prime Minister)[131]",0.2901,0.2901,5.6982,5.6982
Russia,"136,000 USD (President)[33]","105,000 USD (Prime Minister)[83]",0.089,0.0687,12.8205,9.8982
Rwanda,"85,000 USD (President)[6]",,9.5313,,110.1036,
Saint Kitts and Nevis,"51,000 USD (Governor General)[132]","50,844 USD (Prime Minister)[132]",,,,
Saint Lucia,"36,111 USD (Governor General)[133]","50,685 USD (Prime Minister)[133]",,20.0932,,3.5911
Saint Vincent and the Grenadines,"45,042 USD (Governor General)[134]","55,724 USD (Prime Minister)[134]",,,
Samoa,"82,000 USD (Head of State)[135]","78,000 USD (Prime Minister)[135]",97.1564,92.4171,19.2805,18.34
San Marino,"83,682 USD (Both Captain Regents)[136]","83,682 USD (Both Captain Regents)[136]",52.5641,52.5641,1.7652,1.7652
São Tomé and Príncipe,"2,930 USD (President)[137]","2,100 USD (Prime Minister)[138]",,,,
Saudi Arabia,"9,600,000,000 USD (King) royal allowance[139]","132,400 USD (Ministers)[140]",,,
Senegal,"15,210 USD (President)[7]",,0.9473,,14.6532,
Serbia,"14,950 USD (President)[4]","13,736 USD (Prime Minister)[5]",0.3605,0.3312,2.5343,2.3285
Seychelles,"23,700 USD (President)[141]","21,800 USD (Vice President)[142]",,,,
Sierra Leone,"12,220 USD (President)[7]",,3.1357,,24.888,
Singapore,"1,442,000 USD (President)[143]","1,610,000 USD (Prime Minister)[144]",4.452,4.9706,24.9857,27.8967
Slovakia,"129,284 USD (President)[145]","70,973 USD (Prime Minister)[18]",1.3476,0.7398,7.3191,4.0179
Slovenia,"80,142 USD (President)[18]","87,818 USD (Prime Minister)[18]",1.64,1.797,3.3881,3.7126
Solomon Islands,"16,640 USD (Governor-General)[146]","18,181 USD (Prime Minister)[147]",13.0715,14.282,7.9962,8.7367
Somalia,"120,000 USD (President)[148]",,,,,
South Africa,"223,500 USD (President)[33][7]","223,500 USD (President)[33][7]",0.6399,0.6399,36.165,36.165
South Korea,"211,320 USD (President)[18][149]","211,320 USD (President)[18][149]",0.1365,0.1365,7.0255,7.0255
